Close,Open,Time,TradedVolume,askClose,bidClose,ema
0.0,0.0,2018-03-12  07:24:00,507,1.23287,1.23272,1.232005
0.0,0.0,2018-03-12  07:25:00,295,1.23271,1.23256,1.232005
0.0,0.0,2018-03-12  07:26:00,495,1.23279,1.23273,1.232005
0.0,0.0,2018-03-12  07:27:00,313,1.23274,1.23268,1.232005
0.0,0.0,2018-03-12  07:28:00,238,1.23278,1.23272,1.232005
0.0,0.0,2018-03-12  07:29:00,468,1.23288,1.23282,1.232005
0.0,0.0,2018-03-12  07:30:00,327,1.23294,1.23288,1.232005
0.0,0.0,2018-03-12  07:31:00,435,1.23288,1.23273,1.232005
0.0,0.0,2018-03-12  07:32:00,426,1.23282,1.23276,1.232005
0.0,0.0,2018-03-12  07:33:00,190,1.23285,1.23279,1.232005
0.0,0.0,2018-03-12  07:34:00,282,1.23284,1.23278,1.232005
1.2329,0.0,2018-03-12  07:35:00,285,1.23296,1.2329,1.232005
0.0,0.0,2018-03-12  07:36:00,266,1.23294,1.23288,1.232005
0.0,0.0,2018-03-12  07:37:00,384,1.23303,1.23297,1.232005
0.0,0.0,2018-03-12  07:38:00,1687,1.23393,1.23387,1.232005
0.0,0.0,2018-03-12  07:39:00,826,1.23392,1.23386,1.232005
0.0,0.0,2018-03-12  07:40:00,443,1.23378,1.23372,1.232005
0.0,0.0,2018-03-12  07:41:00,692,1.23363,1.23357,1.232005
0.0,0.0,2018-03-12  07:42:00,341,1.23379,1.23373,1.232005
0.0,0.0,2018-03-12  07:43:00,294,1.23379,1.23373,1.232005
0.0,0.0,2018-03-12  07:44:00,248,1.23364,1.23358,1.232005
0.0,0.0,2018-03-12  07:45:00,512,1.23389,1.23383,1.232005
0.0,0.0,2018-03-12  07:46:00,570,1.23373,1.23367,1.232005
0.0,0.0,2018-03-12  07:47:00,583,1.234,1.23394,1.232005
0.0,0.0,2018-03-12  07:48:00,370,1.23413,1.23407,1.232005
0.0,0.0,2018-03-12  07:49:00,602,1.23385,1.23379,1.232005
0.0,0.0,2018-03-12  07:50:00,416,1.23383,1.23377,1.232005
0.0,0.0,2018-03-12  07:51:00,95,1.23385,1.23379,1.232005
0.0,0.0,2018-03-12  07:52:00,252,1.23399,1.23393,1.232005
0.0,0.0,2018-03-12  07:53:00,257,1.2339,1.23384,1.232005
0.0,0.0,2018-03-12  07:54:00,271,1.23363,1.23357,1.232005
0.0,0.0,2018-03-12  07:55:00,210,1.23369,1.23363,1.232005
0.0,0.0,2018-03-12  07:56:00,134,1.23369,1.23354,1.232005
0.0,0.0,2018-03-12  07:57:00,278,1.23392,1.23377,1.232005
0.0,0.0,2018-03-12  07:58:00,349,1.23379,1.23373,1.232005
0.0,0.0,2018-03-12  07:59:00,294,1.23379,1.23373,1.232005
0.0,0.0,2018-03-12  08:00:00,547,1.23368,1.23362,1.232005
